CCC_CODE	CODE_NAME	SHARE(%)	millions in USD	SHORT_CODE	year
56	Chapter 56 wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof	0.037	2.8	Chapter 56 wadding, felt and nonwovens	2022
64	Chapter 64 footwear, gaiters and the like; parts of such articles	0.034	2.62	Chapter 64 footwear, gaiters and the like	2022
88	Chapter 88 aircraft, spacecraft and parts thereof	0.034	2.58	Chapter 88 aircraft, spacecraft and parts thereof	2022
59	Chapter 59 impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for industrial use	0.033	2.55	Chapter 59 impregnated, coated, covered or laminated textile fabrics	2022
81	Chapter 81 other base metals; cermets; articles thereof	0.033	2.51	Chapter 81 other base metals	2022
62	CHAPTER 62 ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED	0.030	2.32	CHAPTER 62 ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED	2022
61	CHAPTER 61 ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CROCHETED	0.027	2.05	CHAPTER 61 ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CROCHETED	2022
34	"CHAPTER 34 SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREPARATIONS, CANDLES AND SIMILAR ARTICLES, MODELING PASTES, ""DENTAL WAXES"" AND DENTAL PREPARATIONS WITH A BASIS OF PLASTER"	0.020	1.5	"CHAPTER 34 SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREPARATIONS, CANDLES AND SIMILAR ARTICLES, MODELING PASTES, ""DENTAL WAXES"" AND DENTAL PREPARATIONS WITH A BASIS OF PLASTER"	2022
37	Chapter 37 photographic or cinematographic goods	0.019	1.43	Chapter 37 photographic or cinematographic goods	2022
49	Chapter 49 printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans	0.018	1.39	Chapter 49 printed books, newspapers, pictures and other products of the printing industry	2022
44	Chapter 44 wood and articles of wood; wood charcoal	0.017	1.3	Chapter 44 wood and articles of wood	2022
30	Chapter 30 pharmaceutical products	0.016	1.21	Chapter 30 pharmaceutical products	2022
33	Chapter 33 essential oils and resinoids; perfumery, cosmetics or toilet preparations	0.015	1.17	Chapter 33 essential oils and resinoids	2022
89	Chapter 89 ships, boats and floating structures	0.015	1.14	Chapter 89 ships, boats and floating structures	2022
Others		0.098			
