CCC_CODE	CODE_NAME	SHARE(%)	millions in USD	SHORT_CODE	year
8536	Electrical apparatus for switching or protecting electrical circuits, or for making connections to or in electrical circuits (for example, switches, relays, fuses, surge suppressors, plugs, sockets, lamp-holders and other connectors, junction boxes), for a voltage not exceeding 1,000 volts; connectors for optical fibres, optical fibre bundles or cables.	0.372	28.5	Electrical apparatus for switching or protecting electrical circuits, or for making connections to or in electrical circuits (for example, switches, relays, fuses, surge suppressors, plugs, sockets, lamp-holders and other connectors, junction boxes), for a voltage not exceeding 1,000 volts	2022
8479	Machines and mechanical appliances having individual functions, not specified or included elsewhere in this Chapter	0.346	26.51	Machines and mechanical appliances having individual functions, not specified or included elsewhere in this Chapter	2022
9002	Lenses, prisms, mirrors and other optical elements, of any material, mounted, being parts of or fittings for instruments or apparatus, other than such elements of glass not optically worked	0.336	25.73	Lenses, prisms, mirrors and other optical elements, of any material, mounted, being parts of or fittings for instruments or apparatus, other than such elements of glass not optically worked	2022
3918	Floor coverings of plastics, whether or not self-adhesive, in rolls or in the form of tiles; wall or ceiling coverings of plastics, as defined in Note 9 to this Chapter	0.331	25.38	Floor coverings of plastics, whether or not self-adhesive, in rolls or in the form of tiles	2022
8301	Padlocks and locks (key, combination or electrically operated), of base metal; clasps and frames with clasps, incorporating locks, of base metal; keys for any of the foregoing articles, of base metal	0.309	23.72	Padlocks and locks (key, combination or electrically operated), of base metal	2022
3903	Polymers of styrene, in primary forms	0.306	23.49	Polymers of styrene, in primary forms	2022
8544	Insulated (including enamelled or anodised) wire, cable (including co-axial cable) and other insulated electric conductors, whether or not fittd with connectors; optical fibre cables, made up of individually sheathed fibres, whether or not assembled with electric conductors or fitted with connectors	0.301	23.06	Insulated (including enamelled or anodised) wire, cable (including co-axial cable) and other insulated electric conductors, whether or not fittd with connectors	2022
7326	Other articles of iron or steel	0.294	22.57	Other articles of iron or steel	2022
8467	Tools for working in the hand, pneumatic hydraulic or with self-contained electric or non-electric motor	0.283	21.73	Tools for working in the hand, pneumatic hydraulic or with self-contained electric or non-electric motor	2022
7306	Other tubes, pipes and hollow profiles (for example, open seam or welded, riveted or similarly closed), of iron or steel	0.280	21.5	Other tubes, pipes and hollow profiles (for example, open seam or welded, riveted or similarly closed), of iron or steel	2022
2106	Food preparations not elsewhere specified or included	0.278	21.31	Food preparations not elsewhere specified or included	2022
8537	Boards, panels, consoles, desks, cabinets and other bases, equipped with two or more apparatus of heading No.85.35 or 85.36, for electric control or the distribution of electricity, including those incorporating instruments or apparatus of Chapter 90, and numerical control apparatus, other than switching apparatus of heading No.85.17	0.277	21.27	Boards, panels, consoles, desks, cabinets and other bases, equipped with two or more apparatus of heading No.85.35 or 85.36, for electric control or the distribution of electricity, including those incorporating instruments or apparatus of Chapter 90, and numerical control apparatus, other than switching apparatus of heading No.85.17	2022
8531	Electric sound or visual signalling apparatus (for example, bells, sirens, indicator panels, burglar or fire alarms), other than those of heading 85.12 or 85.30	0.277	21.26	Electric sound or visual signalling apparatus (for example, bells, sirens, indicator panels, burglar or fire alarms), other than those of heading 85.12 or 85.30	2022
8458	Lathes (including turning centres) for removing metal	0.277	21.23	Lathes (including turning centres) for removing metal	2022
Others		13.034			
